at_no,at_adi,stil_etiketi,stil_etiketi_2,stil_aciklama,yaris_stili,yaris_stili_1,yaris_stili_2,yaris_stili_3,yaris_stili_4,son_kosu_zemin_durumu,birinciden_5sn_fazla,birinciden_fark_sn,at_profili,at_id
12,BİBA AĞA,Orta Grup,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %37, arka-grup %42, on-grup %21, onde %0.",7/19 (37%) | 8/19 (42%) | 4/19 (21%) | 0/19 (0%),7/19 (37%),8/19 (42%),4/19 (21%),0/19 (0%),,X,6.43,https://yenibeygir.com/at/98822/biba-aga,98822
13,AKYEL ABİ,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %44, arka-grup %37, on-grup %17, onde %1.",36/81 (44%) | 30/81 (37%) | 14/81 (17%) | 1/81 (1%),36/81 (44%),30/81 (37%),14/81 (17%),1/81 (1%),,,1.96,https://yenibeygir.com/at/94933/akyel-abi,94933
1,EL QUİMİCO,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %0, on-grup %62, onde %38.",0/8 (0%) | 0/8 (0%) | 5/8 (62%) | 3/8 (38%),0/8 (0%),0/8 (0%),5/8 (62%),3/8 (38%),Isl,,2.94,https://yenibeygir.com/at/103149/el-quimico,103149
2,ARSLAN KAN,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %30, arka-grup %30, on-grup %30, onde %10.",3/10 (30%) | 3/10 (30%) | 3/10 (30%) | 1/10 (10%),3/10 (30%),3/10 (30%),3/10 (30%),1/10 (10%),,,2.38,https://yenibeygir.com/at/103224/arslan-kan,103224
3,KEDİ ÇOCUK,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %67, arka-grup %33, on-grup %0, onde %0.",2/3 (67%) | 1/3 (33%) | 0/3 (0%) | 0/3 (0%),2/3 (67%),1/3 (33%),0/3 (0%),0/3 (0%),Sulu,X,5.34,https://yenibeygir.com/at/105391/kedi-cocuk,105391
4,PERSIAN DIAMOND,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %38, on-grup %50, onde %12.",0/8 (0%) | 3/8 (38%) | 4/8 (50%) | 1/8 (12%),0/8 (0%),3/8 (38%),4/8 (50%),1/8 (12%),,,1.74,https://yenibeygir.com/at/103864/persian-diamond,103864
5,QUİEREME,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %20, arka-grup %45, on-grup %35, onde %0.",4/20 (20%) | 9/20 (45%) | 7/20 (35%) | 0/20 (0%),4/20 (20%),9/20 (45%),7/20 (35%),0/20 (0%),Sulu,X,5.97,https://yenibeygir.com/at/102194/quiereme,102194
6,BAHRİYELİ ÇİKOK,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %33, arka-grup %33, on-grup %0, onde %33.",1/3 (33%) | 1/3 (33%) | 0/3 (0%) | 1/3 (33%),1/3 (33%),1/3 (33%),0/3 (0%),1/3 (33%),Sulu,,4.86,https://yenibeygir.com/at/105298/bahriyeli-cikok,105298
7,DALYA LİNA,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/106358/dalya-lina,106358
8,EMRES GAME,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/106590/emres-game,106590
9,GECE İZ,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %38, on-grup %62, onde %0.",0/8 (0%) | 3/8 (38%) | 5/8 (62%) | 0/8 (0%),0/8 (0%),3/8 (38%),5/8 (62%),0/8 (0%),,,2.23,https://yenibeygir.com/at/105048/gece-iz,105048
10,LADY ONAT,Sprinter,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %50, arka-grup %0, on-grup %0, onde %50.",1/2 (50%) | 0/2 (0%) | 0/2 (0%) | 1/2 (50%),1/2 (50%),0/2 (0%),0/2 (0%),1/2 (50%),,,0.15,https://yenibeygir.com/at/103693/lady-onat,103693
1,ALONE WOLF,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %25, arka-grup %33, on-grup %42, onde %0.",6/24 (25%) | 8/24 (33%) | 10/24 (42%) | 0/24 (0%),6/24 (25%),8/24 (33%),10/24 (42%),0/24 (0%),Nem,,1.32,https://yenibeygir.com/at/96751/alone-wolf,96751
2,BELLICOSO,Önde Kaçan,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %2, on-grup %37, onde %61.",0/41 (0%) | 1/41 (2%) | 15/41 (37%) | 25/41 (61%),0/41 (0%),1/41 (2%),15/41 (37%),25/41 (61%),Isl,,0.00,https://yenibeygir.com/at/94937/bellicoso,94937
3,SWORD MASTER,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %5, arka-grup %5, on-grup %53, onde %37.",2/38 (5%) | 2/38 (5%) | 20/38 (53%) | 14/38 (37%),2/38 (5%),2/38 (5%),20/38 (53%),14/38 (37%),,,0.24,https://yenibeygir.com/at/92100/sword-master,92100
4,EAST WEST WARRIOR,Sprinter,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %36, arka-grup %21, on-grup %36, onde %7.",5/14 (36%) | 3/14 (21%) | 5/14 (36%) | 1/14 (7%),5/14 (36%),3/14 (21%),5/14 (36%),1/14 (7%),Sulu,,3.01,https://yenibeygir.com/at/101475/east-west-warrior,101475
