at_no,at_adi,stil_etiketi,stil_etiketi_2,stil_aciklama,yaris_stili,yaris_stili_1,yaris_stili_2,yaris_stili_3,yaris_stili_4,at_profili,at_id
5,ÇELİK SEMEND,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %10, arka-grup %40, on-grup %50, onde %0.",5/48 (10%) | 19/48 (40%) | 24/48 (50%) | 0/48 (0%),5/48 (10%),19/48 (40%),24/48 (50%),0/48 (0%),https://yenibeygir.com/at/97996/celik-semend,97996
6,ESKİ KALELİ,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %21, arka-grup %42, on-grup %37, onde %0.",8/38 (21%) | 16/38 (42%) | 14/38 (37%) | 0/38 (0%),8/38 (21%),16/38 (42%),14/38 (37%),0/38 (0%),https://yenibeygir.com/at/97098/eski-kaleli,97098
7,TAŞTEPE,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %65, arka-grup %30, on-grup %5, onde %0.",26/40 (65%) | 12/40 (30%) | 2/40 (5%) | 0/40 (0%),26/40 (65%),12/40 (30%),2/40 (5%),0/40 (0%),https://yenibeygir.com/at/89950/tastepe,89950
8,FISILTIKAYA,Orta Grup,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %41, arka-grup %52, on-grup %7, onde %0.",19/46 (41%) | 24/46 (52%) | 3/46 (7%) | 0/46 (0%),19/46 (41%),24/46 (52%),3/46 (7%),0/46 (0%),https://yenibeygir.com/at/97660/fisiltikaya,97660
9,BİTİNYA,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %100, on-grup %0, onde %0.",0/2 (0%) | 2/2 (100%) | 0/2 (0%) | 0/2 (0%),0/2 (0%),2/2 (100%),0/2 (0%),0/2 (0%),https://yenibeygir.com/at/103130/bitinya,103130
1,BERATKIZ,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %43, on-grup %57, onde %0.",0/14 (0%) | 6/14 (43%) | 8/14 (57%) | 0/14 (0%),0/14 (0%),6/14 (43%),8/14 (57%),0/14 (0%),https://yenibeygir.com/at/102727/beratkiz,102727
2,YERDENİZ,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %23, on-grup %68, onde %9.",0/22 (0%) | 5/22 (23%) | 15/22 (68%) | 2/22 (9%),0/22 (0%),5/22 (23%),15/22 (68%),2/22 (9%),https://yenibeygir.com/at/102922/yerdeniz,102922
3,SEYRANTAY,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %15, on-grup %54, onde %31.",0/13 (0%) | 2/13 (15%) | 7/13 (54%) | 4/13 (31%),0/13 (0%),2/13 (15%),7/13 (54%),4/13 (31%),https://yenibeygir.com/at/101867/seyrantay,101867
4,NEVALÇİÇEĞİ,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %10, arka-grup %40, on-grup %50, onde %0.",2/20 (10%) | 8/20 (40%) | 10/20 (50%) | 0/20 (0%),2/20 (10%),8/20 (40%),10/20 (50%),0/20 (0%),https://yenibeygir.com/at/102687/nevalcicegi,102687
5,ULU ECE,Önde Kaçan,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %14, arka-grup %0, on-grup %14, onde %71.",1/7 (14%) | 0/7 (0%) | 1/7 (14%) | 5/7 (71%),1/7 (14%),0/7 (0%),1/7 (14%),5/7 (71%),https://yenibeygir.com/at/103415/ulu-ece,103415
6,YILDIRIM FIRTINASI,Önde Kaçan,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %6, arka-grup %0, on-grup %44, onde %50.",1/16 (6%) | 0/16 (0%) | 7/16 (44%) | 8/16 (50%),1/16 (6%),0/16 (0%),7/16 (44%),8/16 (50%),https://yenibeygir.com/at/102370/yildirim-firtinasi,102370
1,CHEF BUĞRA,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,https://yenibeygir.com/at/106982/chef-bugra,106982
2,ÇELİK STAR,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,https://yenibeygir.com/at/106237/celik-star,106237
3,ETIQUETTE,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,https://yenibeygir.com/at/106983/etiquette,106983
4,MAN OF VICTORY,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,https://yenibeygir.com/at/106564/man-of-victory,106564
5,TOUCH THE LION,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,https://yenibeygir.com/at/105688/touch-the-lion,105688
6,GÖKTEKİ YAĞMUR,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,https://yenibeygir.com/at/106988/gokteki-yagmur,106988
7,PİRCAN KIZI,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,https://yenibeygir.com/at/106712/pircan-kizi,106712
8,SECRET GIRL,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,https://yenibeygir.com/at/106242/secret-girl,106242
9,VICTORY XECE,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,https://yenibeygir.com/at/106826/victory-xece,106826
