at_no,at_adi,stil_etiketi,stil_etiketi_2,stil_aciklama,yaris_stili,yaris_stili_1,yaris_stili_2,yaris_stili_3,yaris_stili_4,at_profili,at_id
12,ZEHİRBİKE,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %20, arka-grup %28, on-grup %48, onde %4.",5/25 (20%) | 7/25 (28%) | 12/25 (48%) | 1/25 (4%),5/25 (20%),7/25 (28%),12/25 (48%),1/25 (4%),https://yenibeygir.com/at/98598/zehirbike,98598
13,TELSERENCAN,Önde Kaçan,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %0, on-grup %22, onde %78.",0/46 (0%) | 0/46 (0%) | 10/46 (22%) | 36/46 (78%),0/46 (0%),0/46 (0%),10/46 (22%),36/46 (78%),https://yenibeygir.com/at/89734/telserencan,89734
14,KOCATEPE,Önde Kaçan,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %4, arka-grup %4, on-grup %37, onde %56.",1/27 (4%) | 1/27 (4%) | 10/27 (37%) | 15/27 (56%),1/27 (4%),1/27 (4%),10/27 (37%),15/27 (56%),https://yenibeygir.com/at/96465/kocatepe,96465
15,BÜYÜK MENDERES,Orta Grup,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %33, arka-grup %39, on-grup %27, onde %0.",11/33 (33%) | 13/33 (39%) | 9/33 (27%) | 0/33 (0%),11/33 (33%),13/33 (39%),9/33 (27%),0/33 (0%),https://yenibeygir.com/at/94059/buyuk-menderes,94059
16,ŞAH DRAGON,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %11, arka-grup %33, on-grup %55, onde %0.",12/105 (11%) | 35/105 (33%) | 58/105 (55%) | 0/105 (0%),12/105 (11%),35/105 (33%),58/105 (55%),0/105 (0%),https://yenibeygir.com/at/86072/sah-dragon,86072
1,DORUKLAR BEYİ,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %44, arka-grup %44, on-grup %11, onde %0.",4/9 (44%) | 4/9 (44%) | 1/9 (11%) | 0/9 (0%),4/9 (44%),4/9 (44%),1/9 (11%),0/9 (0%),https://yenibeygir.com/at/104847/doruklar-beyi,104847
2,FEARLESS DRAGON,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %20, on-grup %60, onde %20.",0/5 (0%) | 1/5 (20%) | 3/5 (60%) | 1/5 (20%),0/5 (0%),1/5 (20%),3/5 (60%),1/5 (20%),https://yenibeygir.com/at/104742/fearless-dragon,104742
3,GHOST COMMANDER,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %33, on-grup %67, onde %0.",0/3 (0%) | 1/3 (33%) | 2/3 (67%) | 0/3 (0%),0/3 (0%),1/3 (33%),2/3 (67%),0/3 (0%),https://yenibeygir.com/at/104475/ghost-commander,104475
4,KARA BERELİ,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %33, arka-grup %33, on-grup %33, onde %0.",1/3 (33%) | 1/3 (33%) | 1/3 (33%) | 0/3 (0%),1/3 (33%),1/3 (33%),1/3 (33%),0/3 (0%),https://yenibeygir.com/at/103719/kara-bereli,103719
5,MIRACLE RHYTHM,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %21, on-grup %68, onde %11.",0/19 (0%) | 4/19 (21%) | 13/19 (68%) | 2/19 (11%),0/19 (0%),4/19 (21%),13/19 (68%),2/19 (11%),https://yenibeygir.com/at/103124/miracle-rhythm,103124
