at_no,at_adi,stil_etiketi,stil_etiketi_2,stil_aciklama,yaris_stili,yaris_stili_1,yaris_stili_2,yaris_stili_3,yaris_stili_4,son_kosu_zemin_durumu,birinciden_5sn_fazla,birinciden_fark_sn,at_profili,at_id
3,WARRIOR MAN,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %8, arka-grup %31, on-grup %54, onde %8.",1/13 (8%) | 4/13 (31%) | 7/13 (54%) | 1/13 (8%),1/13 (8%),4/13 (31%),7/13 (54%),1/13 (8%),,X,6.34,https://yenibeygir.com/at/101633/warrior-man,101633
4,METE KOÇ BEY,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %29, on-grup %71, onde %0.",0/7 (0%) | 2/7 (29%) | 5/7 (71%) | 0/7 (0%),0/7 (0%),2/7 (29%),5/7 (71%),0/7 (0%),,X,11.22,https://yenibeygir.com/at/103315/mete-koc-bey,103315
5,ASİLSİMA,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %5, arka-grup %23, on-grup %59, onde %14.",1/22 (5%) | 5/22 (23%) | 13/22 (59%) | 3/22 (14%),1/22 (5%),5/22 (23%),13/22 (59%),3/22 (14%),,,0.88,https://yenibeygir.com/at/101862/asilsima,101862
6,KING OF THE FIELD,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %9, on-grup %73, onde %18.",0/11 (0%) | 1/11 (9%) | 8/11 (73%) | 2/11 (18%),0/11 (0%),1/11 (9%),8/11 (73%),2/11 (18%),,,0.00,https://yenibeygir.com/at/103816/king-of-the-field,103816
7,RAHAT OLL,Önde Kaçan,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %7, arka-grup %7, on-grup %7, onde %80.",1/15 (7%) | 1/15 (7%) | 1/15 (7%) | 12/15 (80%),1/15 (7%),1/15 (7%),1/15 (7%),12/15 (80%),Nem,,2.09,https://yenibeygir.com/at/101798/rahat-oll,101798
8,KING YAKUP,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %21, arka-grup %29, on-grup %50, onde %0.",3/14 (21%) | 4/14 (29%) | 7/14 (50%) | 0/14 (0%),3/14 (21%),4/14 (29%),7/14 (50%),0/14 (0%),,,4.17,https://yenibeygir.com/at/104461/king-yakup,104461
9,SEYYİT BEY,Sprinter,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %40, arka-grup %20, on-grup %40, onde %0.",2/5 (40%) | 1/5 (20%) | 2/5 (40%) | 0/5 (0%),2/5 (40%),1/5 (20%),2/5 (40%),0/5 (0%),"Hafif Çim (3,6)",,1.45,https://yenibeygir.com/at/102634/seyyit-bey,102634
1,INFORMACTION,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %36, on-grup %64, onde %0.",0/25 (0%) | 9/25 (36%) | 16/25 (64%) | 0/25 (0%),0/25 (0%),9/25 (36%),16/25 (64%),0/25 (0%),,,2.46,https://yenibeygir.com/at/98216/informaction,98216
2,HAMİDİN,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %24, arka-grup %36, on-grup %36, onde %4.",6/25 (24%) | 9/25 (36%) | 9/25 (36%) | 1/25 (4%),6/25 (24%),9/25 (36%),9/25 (36%),1/25 (4%),,,0.69,https://yenibeygir.com/at/90056/hamidin,90056
3,MERYEM SULTAN,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %9, arka-grup %39, on-grup %50, onde %2.",4/44 (9%) | 17/44 (39%) | 22/44 (50%) | 1/44 (2%),4/44 (9%),17/44 (39%),22/44 (50%),1/44 (2%),,X,11.47,https://yenibeygir.com/at/99185/meryem-sultan,99185
4,BLACK FIG,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %11, arka-grup %26, on-grup %33, onde %30.",3/27 (11%) | 7/27 (26%) | 9/27 (33%) | 8/27 (30%),3/27 (11%),7/27 (26%),9/27 (33%),8/27 (30%),,,4.23,https://yenibeygir.com/at/99999/black-fig,99999
5,SUPERLINE,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %0, on-grup %55, onde %45.",0/31 (0%) | 0/31 (0%) | 17/31 (55%) | 14/31 (45%),0/31 (0%),0/31 (0%),17/31 (55%),14/31 (45%),,,0.05,https://yenibeygir.com/at/94767/superline,94767
6,TEK OZANIM,Sprinter,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %62, arka-grup %12, on-grup %25, onde %0.",5/8 (62%) | 1/8 (12%) | 2/8 (25%) | 0/8 (0%),5/8 (62%),1/8 (12%),2/8 (25%),0/8 (0%),Isl,,1.92,https://yenibeygir.com/at/100400/tek-ozanim,100400
7,LION ROBERO,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %7, arka-grup %33, on-grup %45, onde %14.",3/42 (7%) | 14/42 (33%) | 19/42 (45%) | 6/42 (14%),3/42 (7%),14/42 (33%),19/42 (45%),6/42 (14%),Nem,,0.61,https://yenibeygir.com/at/97682/lion-robero,97682
8,BEYOND THE SEA,Orta Grup,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %30, arka-grup %54, on-grup %16, onde %0.",21/70 (30%) | 38/70 (54%) | 11/70 (16%) | 0/70 (0%),21/70 (30%),38/70 (54%),11/70 (16%),0/70 (0%),Sulu,X,6.26,https://yenibeygir.com/at/90288/beyond-the-sea,90288
9,ÜNLÜ AĞAM,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %22, on-grup %78, onde %0.",0/9 (0%) | 2/9 (22%) | 7/9 (78%) | 0/9 (0%),0/9 (0%),2/9 (22%),7/9 (78%),0/9 (0%),,,2.28,https://yenibeygir.com/at/98490/unlu-agam,98490
