at_no,at_adi,stil_etiketi,stil_etiketi_2,stil_aciklama,yaris_stili,yaris_stili_1,yaris_stili_2,yaris_stili_3,yaris_stili_4,at_profili,at_id
4,CAPTAIN MARSHALL,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %8, arka-grup %31, on-grup %62, onde %0.",2/26 (8%) | 8/26 (31%) | 16/26 (62%) | 0/26 (0%),2/26 (8%),8/26 (31%),16/26 (62%),0/26 (0%),https://yenibeygir.com/at/96364/captain-marshall,96364
5,KİNG İHSAN,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %4, arka-grup %15, on-grup %54, onde %27.",1/26 (4%) | 4/26 (15%) | 14/26 (54%) | 7/26 (27%),1/26 (4%),4/26 (15%),14/26 (54%),7/26 (27%),https://yenibeygir.com/at/97949/king-ihsan,97949
6,NİSANUR HATIRASI,Önde Kaçan,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %2, arka-grup %6, on-grup %34, onde %58.",2/98 (2%) | 6/98 (6%) | 33/98 (34%) | 57/98 (58%),2/98 (2%),6/98 (6%),33/98 (34%),57/98 (58%),https://yenibeygir.com/at/89437/nisanur-hatirasi,89437
7,MARCUS,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %9, arka-grup %33, on-grup %56, onde %2.",4/43 (9%) | 14/43 (33%) | 24/43 (56%) | 1/43 (2%),4/43 (9%),14/43 (33%),24/43 (56%),1/43 (2%),https://yenibeygir.com/at/90862/marcus,90862
8,NICE,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %20, arka-grup %46, on-grup %30, onde %4.",11/56 (20%) | 26/56 (46%) | 17/56 (30%) | 2/56 (4%),11/56 (20%),26/56 (46%),17/56 (30%),2/56 (4%),https://yenibeygir.com/at/91138/nice,91138
9,SELANİK PRENSİ,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %12, arka-grup %38, on-grup %50, onde %0.",5/40 (12%) | 15/40 (38%) | 20/40 (50%) | 0/40 (0%),5/40 (12%),15/40 (38%),20/40 (50%),0/40 (0%),https://yenibeygir.com/at/94875/selanik-prensi,94875
10,SMART CLEM,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %9, on-grup %48, onde %43.",0/23 (0%) | 2/23 (9%) | 11/23 (48%) | 10/23 (43%),0/23 (0%),2/23 (9%),11/23 (48%),10/23 (43%),https://yenibeygir.com/at/100389/smart-clem,100389
11,SUSTURUCU,Önde Kaçan,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %9, arka-grup %14, on-grup %9, onde %68.",2/22 (9%) | 3/22 (14%) | 2/22 (9%) | 15/22 (68%),2/22 (9%),3/22 (14%),2/22 (9%),15/22 (68%),https://yenibeygir.com/at/98593/susturucu,98593
12,KANEKONUN TORUNU,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %22, on-grup %66, onde %12.",0/32 (0%) | 7/32 (22%) | 21/32 (66%) | 4/32 (12%),0/32 (0%),7/32 (22%),21/32 (66%),4/32 (12%),https://yenibeygir.com/at/95314/kanekonun-torunu,95314
13,ELSAN STAR,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %26, on-grup %71, onde %3.",0/31 (0%) | 8/31 (26%) | 22/31 (71%) | 1/31 (3%),0/31 (0%),8/31 (26%),22/31 (71%),1/31 (3%),https://yenibeygir.com/at/89677/elsan-star,89677
