at_no,at_adi,stil_etiketi,stil_etiketi_2,stil_aciklama,yaris_stili,yaris_stili_1,yaris_stili_2,yaris_stili_3,yaris_stili_4,at_profili,at_id
4,İSMET ABİ,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %33, on-grup %67, onde %0.",0/12 (0%) | 4/12 (33%) | 8/12 (67%) | 0/12 (0%),0/12 (0%),4/12 (33%),8/12 (67%),0/12 (0%),https://www.yenibeygir.com/at/102835/ismet-abi,102835
5,LİDERKATI,Önde Kaçan,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %0, on-grup %47, onde %53.",0/17 (0%) | 0/17 (0%) | 8/17 (47%) | 9/17 (53%),0/17 (0%),0/17 (0%),8/17 (47%),9/17 (53%),https://www.yenibeygir.com/at/102615/liderkati,102615
6,ABBAS BEY,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %13, arka-grup %61, on-grup %23, onde %3.",4/31 (13%) | 19/31 (61%) | 7/31 (23%) | 1/31 (3%),4/31 (13%),19/31 (61%),7/31 (23%),1/31 (3%),https://www.yenibeygir.com/at/98389/abbas-bey,98389
1,ASLAN HATİP,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %7, arka-grup %20, on-grup %67, onde %7.",1/15 (7%) | 3/15 (20%) | 10/15 (67%) | 1/15 (7%),1/15 (7%),3/15 (20%),10/15 (67%),1/15 (7%),https://www.yenibeygir.com/at/101357/aslan-hatip,101357
2,MUHLİF BABA,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %8, arka-grup %15, on-grup %46, onde %31.",1/13 (8%) | 2/13 (15%) | 6/13 (46%) | 4/13 (31%),1/13 (8%),2/13 (15%),6/13 (46%),4/13 (31%),https://www.yenibeygir.com/at/102625/muhlif-baba,102625
3,SAÇANŞAH,Önde Kaçan,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %0, on-grup %38, onde %62.",0/16 (0%) | 0/16 (0%) | 6/16 (38%) | 10/16 (62%),0/16 (0%),0/16 (0%),6/16 (38%),10/16 (62%),https://www.yenibeygir.com/at/102407/sacansah,102407
4,CESURSOY,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %10, on-grup %70, onde %20.",0/10 (0%) | 1/10 (10%) | 7/10 (70%) | 2/10 (20%),0/10 (0%),1/10 (10%),7/10 (70%),2/10 (20%),https://www.yenibeygir.com/at/101600/cesursoy,101600
5,DORUKBATUR,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %0, on-grup %100, onde %0.",0/2 (0%) | 0/2 (0%) | 2/2 (100%) | 0/2 (0%),0/2 (0%),0/2 (0%),2/2 (100%),0/2 (0%),https://www.yenibeygir.com/at/102060/dorukbatur,102060
6,ÖZMEN BEY,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %17, on-grup %67, onde %17.",0/6 (0%) | 1/6 (17%) | 4/6 (67%) | 1/6 (17%),0/6 (0%),1/6 (17%),4/6 (67%),1/6 (17%),https://www.yenibeygir.com/at/103064/ozmen-bey,103064
7,SOĞUKDAĞ,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %13, arka-grup %40, on-grup %47, onde %0.",2/15 (13%) | 6/15 (40%) | 7/15 (47%) | 0/15 (0%),2/15 (13%),6/15 (40%),7/15 (47%),0/15 (0%),https://www.yenibeygir.com/at/101622/sogukdag,101622
8,SURUÇLU MEMO,Orta Grup,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %31, arka-grup %54, on-grup %15, onde %0.",4/13 (31%) | 7/13 (54%) | 2/13 (15%) | 0/13 (0%),4/13 (31%),7/13 (54%),2/13 (15%),0/13 (0%),https://www.yenibeygir.com/at/102844/suruclu-memo,102844
