At İsmi,Koşu,Çıktı,Son Mesafe,Son Pist,Son Kilo,Kilo,Son Hipodrom,At No,At ID,Stil Etiketi,Stil Etiketi 2,Stil Aciklama,Yaris Stili,At Profili,Eslesme
GHOST COMMANDER,,6.66,1900,Kum,58,56,Bursa,3,104475,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %33, on-grup %67, onde %0.",0/3 (0%) | 1/3 (33%) | 2/3 (67%) | 0/3 (0%),https://yenibeygir.com/at/104475/ghost-commander,bulundu
,8. Koşu,,,,,,,,,,,,,,
NOVADORA,,6.27,1400,Kum,50,54.1,Bursa,12,95969,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %21, arka-grup %29, on-grup %38, onde %12.",7/34 (21%) | 10/34 (29%) | 13/34 (38%) | 4/34 (12%),https://yenibeygir.com/at/95969/novadora,bulundu
NEZNAKOMKA,,6.29,1400,Kum,60.5,56,Bursa,2,100374,Orta Grup,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %33, arka-grup %38, on-grup %24, onde %5.",7/21 (33%) | 8/21 (38%) | 5/21 (24%) | 1/21 (5%),https://yenibeygir.com/at/100374/neznakomka,bulundu
PRENSES DALAKA,,6.30,1400,Sentetik,54.5,52,İstanbul,10,86314,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %12, arka-grup %19, on-grup %64, onde %5.",10/81 (12%) | 15/81 (19%) | 52/81 (64%) | 4/81 (5%),https://yenibeygir.com/at/86314/prenses-dalaka,bulundu
TILO GIRL,,6.31,1400,Kum,55,56,Bursa,9,98448,Takipçi,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %31, arka-grup %22, on-grup %38, onde %9.",10/32 (31%) | 7/32 (22%) | 12/32 (38%) | 3/32 (9%),https://yenibeygir.com/at/98448/tilo-girl,bulundu
LAYETEZELZEL,,6.32,1400,Kum,61,59.5,İzmir,1,100575,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %4, arka-grup %22, on-grup %61, onde %13.",1/23 (4%) | 5/23 (22%) | 14/23 (61%) | 3/23 (13%),https://yenibeygir.com/at/100575/layetezelzel,bulundu
CROWN OF HONOR,,6.35,1400,Sentetik,60,53.5,İstanbul,3,98891,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %15, arka-grup %10, on-grup %70, onde %5.",3/20 (15%) | 2/20 (10%) | 14/20 (70%) | 1/20 (5%),https://yenibeygir.com/at/98891/crown-of-honor,bulundu
ACROMANTULA,,6.36,1400,Sentetik,59.5,55,İstanbul,4,100394,Önde Kaçan,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %29, on-grup %29, onde %43.",0/7 (0%) | 2/7 (29%) | 2/7 (29%) | 3/7 (43%),https://yenibeygir.com/at/100394/acromantula,bulundu
TRUE ANGEL,,6.43,1800,Kum,54.5,56,Bursa,7,95716,Orta Grup,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %33, arka-grup %56, on-grup %11, onde %0.",12/36 (33%) | 20/36 (56%) | 4/36 (11%) | 0/36 (0%),https://yenibeygir.com/at/95716/true-angel,bulundu
GENÇAY NALAN,,6.45,1800,Kum,51.5,55,Bursa,11,96358,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %3, arka-grup %3, on-grup %72, onde %21.",1/29 (3%) | 1/29 (3%) | 21/29 (72%) | 6/29 (21%),https://yenibeygir.com/at/96358/gencay-nalan,bulundu
