At İsmi,Koşu,Çıktı,Son Mesafe,Son Pist,Son Kilo,Kilo,Son Hipodrom,At No,At ID,Stil Etiketi,Stil Etiketi 2,Stil Aciklama,Yaris Stili,At Profili,Eslesme
ESKİ KALELİ,,7.88,1700,Kum,56.5,63,Şanlıurfa,6,97098,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %21, arka-grup %42, on-grup %37, onde %0.",8/38 (21%) | 16/38 (42%) | 14/38 (37%) | 0/38 (0%),https://yenibeygir.com/at/97098/eski-kaleli,bulundu
TAŞTEPE,,7.97,1200,Kum,56.5,57.5,Elazığ,7,89950,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %65, arka-grup %30, on-grup %5, onde %0.",26/40 (65%) | 12/40 (30%) | 2/40 (5%) | 0/40 (0%),https://yenibeygir.com/at/89950/tastepe,bulundu
ZEKAİBEY,,8.06,1800,Kum,57.5,56.5,Şanlıurfa,3,80647,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %4, arka-grup %5, on-grup %72, onde %19.",2/57 (4%) | 3/57 (5%) | 41/57 (72%) | 11/57 (19%),https://yenibeygir.com/at/80647/zekaibey,bulundu
BİTİNYA,,10.02,1200,Kum,51.5,53.7,Elazığ,9,103130,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %100, on-grup %0, onde %0.",0/2 (0%) | 2/2 (100%) | 0/2 (0%) | 0/2 (0%),https://yenibeygir.com/at/103130/bitinya,bulundu
,7. Koşu,,,,,,,,,,,,,,
SEYRANTAY,,7.23,1400,Kum,56.5,55,Şanlıurfa,3,101867,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %15, on-grup %54, onde %31.",0/13 (0%) | 2/13 (15%) | 7/13 (54%) | 4/13 (31%),https://yenibeygir.com/at/101867/seyrantay,bulundu
YERDENİZ,,7.28,1800,Kum,59.5,58.5,Şanlıurfa,2,102922,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %23, on-grup %68, onde %9.",0/22 (0%) | 5/22 (23%) | 15/22 (68%) | 2/22 (9%),https://yenibeygir.com/at/102922/yerdeniz,bulundu
BERATKIZ,,7.39,1900,Kum,60.5,57,Şanlıurfa,1,102727,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %43, on-grup %57, onde %0.",0/14 (0%) | 6/14 (43%) | 8/14 (57%) | 0/14 (0%),https://yenibeygir.com/at/102727/beratkiz,bulundu
NEVALÇİÇEĞİ,,7.78,1200,Kum,53.5,60.5,Elazığ,4,102687,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %10, arka-grup %40, on-grup %50, onde %0.",2/20 (10%) | 8/20 (40%) | 10/20 (50%) | 0/20 (0%),https://yenibeygir.com/at/102687/nevalcicegi,bulundu
ULU ECE,,8.36,1200,Kum,52.5,61.5,Elazığ,5,103415,Önde Kaçan,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %14, arka-grup %0, on-grup %14, onde %71.",1/7 (14%) | 0/7 (0%) | 1/7 (14%) | 5/7 (71%),https://yenibeygir.com/at/103415/ulu-ece,bulundu
YILDIRIM FIRTINASI,,geçersiz,1800,Kum,51,56.2,Şanlıurfa,6,102370,Önde Kaçan,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %6, arka-grup %0, on-grup %44, onde %50.",1/16 (6%) | 0/16 (0%) | 7/16 (44%) | 8/16 (50%),https://yenibeygir.com/at/102370/yildirim-firtinasi,bulundu
,8. Koşu,,,,,,,,,,,,,,
CHEF BUĞRA,,geçersiz,,,57,,,1,106982,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/106982/chef-bugra,bulundu
ÇELİK STAR,,geçersiz,,,57,,,2,106237,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/106237/celik-star,bulundu
ETIQUETTE,,geçersiz,,,57,,,3,106983,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/106983/etiquette,bulundu
MAN OF VICTORY,,geçersiz,,,57,,,4,106564,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/106564/man-of-victory,bulundu
TOUCH THE LION,,geçersiz,,,57,,,5,105688,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/105688/touch-the-lion,bulundu
GÖKTEKİ YAĞMUR,,geçersiz,,,55,,,6,106988,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/106988/gokteki-yagmur,bulundu
PİRCAN KIZI,,geçersiz,,,55,,,7,106712,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/106712/pircan-kizi,bulundu
SECRET GIRL,,geçersiz,,,55,,,8,106242,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/106242/secret-girl,bulundu
VICTORY XECE,,geçersiz,,,55,,,9,106826,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/106826/victory-xece,bulundu
