at_no,at_adi,stil_etiketi,stil_etiketi_2,stil_aciklama,yaris_stili,yaris_stili_1,yaris_stili_2,yaris_stili_3,yaris_stili_4,son_kosu_zemin_durumu,birinciden_5sn_fazla,birinciden_fark_sn,at_profili,at_id
8,SHINNY,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %41, arka-grup %35, on-grup %24, onde %0.",7/17 (41%) | 6/17 (35%) | 4/17 (24%) | 0/17 (0%),7/17 (41%),6/17 (35%),4/17 (24%),0/17 (0%),,,0.00,https://yenibeygir.com/at/100764/shinny,100764
1,RÜZGAR DELEN,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %24, arka-grup %39, on-grup %37, onde %0.",12/49 (24%) | 19/49 (39%) | 18/49 (37%) | 0/49 (0%),12/49 (24%),19/49 (39%),18/49 (37%),0/49 (0%),Isl,,0.56,https://yenibeygir.com/at/97103/ruzgar-delen,97103
2,ÖZTAMER,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %15, arka-grup %24, on-grup %61, onde %0.",5/33 (15%) | 8/33 (24%) | 20/33 (61%) | 0/33 (0%),5/33 (15%),8/33 (24%),20/33 (61%),0/33 (0%),Sulu,,0.57,https://yenibeygir.com/at/98195/oztamer,98195
3,CEZZAR BEY,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %56, arka-grup %31, on-grup %12, onde %0.",9/16 (56%) | 5/16 (31%) | 2/16 (12%) | 0/16 (0%),9/16 (56%),5/16 (31%),2/16 (12%),0/16 (0%),,,0.40,https://yenibeygir.com/at/103470/cezzar-bey,103470
4,GÜLFİLİZ,Önde Kaçan,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %8, arka-grup %8, on-grup %38, onde %46.",1/13 (8%) | 1/13 (8%) | 5/13 (38%) | 6/13 (46%),1/13 (8%),1/13 (8%),5/13 (38%),6/13 (46%),,,1.14,https://yenibeygir.com/at/102312/gulfiliz,102312
5,SAMET EFENDİ,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %40, arka-grup %30, on-grup %30, onde %0.",4/10 (40%) | 3/10 (30%) | 3/10 (30%) | 0/10 (0%),4/10 (40%),3/10 (30%),3/10 (30%),0/10 (0%),,,0.35,https://yenibeygir.com/at/104455/samet-efendi,104455
6,ERSOYHAN,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %0, on-grup %50, onde %50.",0/6 (0%) | 0/6 (0%) | 3/6 (50%) | 3/6 (50%),0/6 (0%),0/6 (0%),3/6 (50%),3/6 (50%),,,1.63,https://yenibeygir.com/at/104537/ersoyhan,104537
7,DENİZ SAVAŞI,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %25, arka-grup %25, on-grup %38, onde %12.",2/8 (25%) | 2/8 (25%) | 3/8 (38%) | 1/8 (12%),2/8 (25%),2/8 (25%),3/8 (38%),1/8 (12%),,,0.97,https://yenibeygir.com/at/103553/deniz-savasi,103553
8,ÖMERİNOĞLU,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %5, arka-grup %11, on-grup %53, onde %32.",1/19 (5%) | 2/19 (11%) | 10/19 (53%) | 6/19 (32%),1/19 (5%),2/19 (11%),10/19 (53%),6/19 (32%),,X,9.20,https://yenibeygir.com/at/102800/omerinoglu,102800
9,GAZNELİ,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %11, arka-grup %22, on-grup %67, onde %0.",1/9 (11%) | 2/9 (22%) | 6/9 (67%) | 0/9 (0%),1/9 (11%),2/9 (22%),6/9 (67%),0/9 (0%),,,1.18,https://yenibeygir.com/at/103748/gazneli,103748
10,BYCEVHER,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %36, arka-grup %27, on-grup %9, onde %27.",4/11 (36%) | 3/11 (27%) | 1/11 (9%) | 3/11 (27%),4/11 (36%),3/11 (27%),1/11 (9%),3/11 (27%),Sulu,,3.56,https://yenibeygir.com/at/101670/bycevher,101670
11,PRENSES ANCELİNA,Önde Kaçan,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %31, on-grup %31, onde %38.",0/13 (0%) | 4/13 (31%) | 4/13 (31%) | 5/13 (38%),0/13 (0%),4/13 (31%),4/13 (31%),5/13 (38%),,,2.84,https://yenibeygir.com/at/101406/prenses-ancelina,101406
1,AKERBEY,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/106340/akerbey,106340
2,ALABİNİT,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/106521/alabinit,106521
3,AMİRSOYLU,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/106085/amirsoylu,106085
4,ATAERİ,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/105531/ataeri,105531
5,ÇAKIR METE,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/105810/cakir-mete,105810
6,HÜKÜMSÜREN,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/105921/hukumsuren,105921
7,HÜRTAYFA,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/106520/hurtayfa,106520
8,KOEMAN,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/106364/koeman,106364
9,MİSİLLEME,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/106013/misilleme,106013
10,VURGUNHAN,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/105899/vurgunhan,105899
11,ZEYDANTAY,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/105732/zeydantay,105732
12,MAHPAREM,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/107041/mahparem,107041
