date,year_month,weekday_no,weekday,city,city_id,label,combination,amount,amount_text,under_1750,race_count,url
2025-10-12,2025-10,6,Pazar,Adana,1,1. 6'LI GANYAN,"5,7,9/1/4/10/8/2",730068.75,"730.068,75 ₺",0,10,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=1&QueryParameter_Tarih=12%2F10%2F2025&SehirAdi=Adana
2025-10-12,2025-10,6,Pazar,Istanbul,3,1. 6'LI GANYAN,"1/5,9/1/4/1/9,11",16000.45,"16.000,45 ₺",0,9,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=3&QueryParameter_Tarih=12%2F10%2F2025&SehirAdi=Istanbul
2025-10-13,2025-10,0,Pazartesi,Bursa,4,1. 6'LI GANYAN,"6/4,6/1/8/1,11/2",6017.7,"6.017,70 ₺",0,9,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=4&QueryParameter_Tarih=13%2F10%2F2025&SehirAdi=Bursa
2025-10-13,2025-10,0,Pazartesi,Urfa,6,1. 6'LI GANYAN,"6/12/5/14/7/3,14",525791.52,"525.791,52 ₺",0,9,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=6&QueryParameter_Tarih=13%2F10%2F2025&SehirAdi=Urfa
2025-10-14,2025-10,1,Sali,Adana,1,1. 6'LI GANYAN,5/6/4/7/9/6,1519537.55,"1.519.537,55 ₺",0,10,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=1&QueryParameter_Tarih=14%2F10%2F2025&SehirAdi=Adana
2025-10-15,2025-10,2,Carsamba,Elazig,7,1. 6'LI GANYAN,4/1/4/7/1/3,15930.28,"15.930,28 ₺",0,8,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=7&QueryParameter_Tarih=15%2F10%2F2025&SehirAdi=Elazig
2025-10-15,2025-10,2,Carsamba,Istanbul,3,1. 6'LI GANYAN,11/1/4/6/4/6,1151073.95,"1.151.073,95 ₺",0,9,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=3&QueryParameter_Tarih=15%2F10%2F2025&SehirAdi=Istanbul
2025-10-16,2025-10,3,Persembe,Ankara,5,1. 6'LI GANYAN,1/5/2/6/1/2,8674.95,"8.674,95 ₺",0,9,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=5&QueryParameter_Tarih=16%2F10%2F2025&SehirAdi=Ankara
2025-10-16,2025-10,3,Persembe,Izmir,2,1. 6'LI GANYAN,5/3/1/11/2/1,306505.35,"306.505,35 ₺",0,9,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=2&QueryParameter_Tarih=16%2F10%2F2025&SehirAdi=Izmir
2025-10-17,2025-10,4,Cuma,Bursa,4,1. 6'LI GANYAN,"4,5/3/2/3/1,7/4",12657.55,"12.657,55 ₺",0,10,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=4&QueryParameter_Tarih=17%2F10%2F2025&SehirAdi=Bursa
