At İsmi,Koşu,Çıktı,Son Mesafe,Son Pist,Son Kilo,Kilo,Son Hipodrom,At No,At ID,Stil Etiketi,Stil Etiketi 2,Stil Aciklama,Yaris Stili,At Profili,Eslesme
MISS ELLEN,,6.53,1500,Kum,56,56,Adana,5,104533,Sprinter,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %60, arka-grup %27, on-grup %13, onde %0.",9/15 (60%) | 4/15 (27%) | 2/15 (13%) | 0/15 (0%),https://www.yenibeygir.com/at/104533/miss-ellen,bulundu
,8. Koşu,,,,,,,,,,,,,,
SIRRIN BEYİ,,5.68,1400,Kum,52,58,Şanlıurfa,14,101983,Önde Kaçan,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %0, on-grup %36, onde %64.",0/11 (0%) | 0/11 (0%) | 4/11 (36%) | 7/11 (64%),https://www.yenibeygir.com/at/101983/sirrin-beyi,bulundu
YAKARİ,,5.90,1300,Kum,56,56.8,Adana,5,102050,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %27, arka-grup %9, on-grup %45, onde %18.",3/11 (27%) | 1/11 (9%) | 5/11 (45%) | 2/11 (18%),https://www.yenibeygir.com/at/102050/yakari,bulundu
MAXIMUS MAN,,5.93,1200,Kum,58,55.4,Adana,3,104347,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %0, on-grup %83, onde %17.",0/6 (0%) | 0/6 (0%) | 5/6 (83%) | 1/6 (17%),https://www.yenibeygir.com/at/104347/maximus-man,bulundu
MASTER OF RACE,,5.96,1300,Çim,54,57.1,Adana,7,103738,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %40, on-grup %60, onde %0.",0/5 (0%) | 2/5 (40%) | 3/5 (60%) | 0/5 (0%),https://www.yenibeygir.com/at/103738/master-of-race,bulundu
YOU AND ME,,5.99,2100,Sentetik,56,56,Antalya,12,104477,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %25, arka-grup %25, on-grup %38, onde %12.",2/8 (25%) | 2/8 (25%) | 3/8 (38%) | 1/8 (12%),https://www.yenibeygir.com/at/104477/you-and-me,bulundu
NAMASTE,,6.00,1400,Kum,54,60,Adana,8,103567,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %25, arka-grup %0, on-grup %75, onde %0.",2/8 (25%) | 0/8 (0%) | 6/8 (75%) | 0/8 (0%),https://www.yenibeygir.com/at/103567/namaste,bulundu
CASH FOR YOU,,6.03,1300,Çim,58,59,Adana,2,103814,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %10, arka-grup %30, on-grup %60, onde %0.",1/10 (10%) | 3/10 (30%) | 6/10 (60%) | 0/10 (0%),https://www.yenibeygir.com/at/103814/cash-for-you,bulundu
TRAİDORA,,6.07,1300,Kum,54,56,Adana,9,102254,Önde Kaçan,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %6, arka-grup %12, on-grup %24, onde %59.",1/17 (6%) | 2/17 (12%) | 4/17 (24%) | 10/17 (59%),https://www.yenibeygir.com/at/102254/traidora,bulundu
MALCOOBA,,6.07,1500,Kum,55,56.8,Adana,13,103563,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %17, arka-grup %17, on-grup %33, onde %33.",1/6 (17%) | 1/6 (17%) | 2/6 (33%) | 2/6 (33%),https://www.yenibeygir.com/at/103563/malcooba,bulundu
IRONHOOF,,6.14,1800,Çim,54,56,Adana,6,102078,Önde Kaçan,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %9, arka-grup %0, on-grup %36, onde %55.",1/11 (9%) | 0/11 (0%) | 4/11 (36%) | 6/11 (55%),https://www.yenibeygir.com/at/102078/ironhoof,bulundu
QUEEN SEÇİL,,6.14,1500,Kum,53,57.6,Adana,10,103326,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %13, on-grup %73, onde %13.",0/15 (0%) | 2/15 (13%) | 11/15 (73%) | 2/15 (13%),https://www.yenibeygir.com/at/103326/queen-secil,bulundu
AZP STAR,,6.17,2100,Çim,58,58,Adana,1,102827,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %6, arka-grup %31, on-grup %50, onde %12.",1/16 (6%) | 5/16 (31%) | 8/16 (50%) | 2/16 (12%),https://www.yenibeygir.com/at/102827/azp-star,bulundu
TALADRRO,,6.49,1900,Kum,55,56.7,Adana,11,102645,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %8, arka-grup %38, on-grup %54, onde %0.",1/13 (8%) | 5/13 (38%) | 7/13 (54%) | 0/13 (0%),https://www.yenibeygir.com/at/102645/taladrro,bulundu
SCHATZ,,6.50,1800,Çim,56,58,Adana,4,103268,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %27, arka-grup %27, on-grup %27, onde %18.",3/11 (27%) | 3/11 (27%) | 3/11 (27%) | 2/11 (18%),https://www.yenibeygir.com/at/103268/schatz,bulundu
